iter	Logloss
0	0.6802752139
1	0.6680717028
2	0.6560316382
3	0.6461028917
4	0.6355154855
5	0.6255998451
6	0.616184942
7	0.6067592617
8	0.5976674605
9	0.589243255
10	0.5818028691
11	0.5740465301
12	0.5666509322
13	0.5601339264
14	0.5536232028
15	0.5472622239
16	0.5408830482
17	0.5349860881
18	0.5301253717
19	0.5255705352
20	0.520713339
21	0.5163390626
22	0.5118680614
23	0.5073914278
24	0.5045837565
25	0.5007037727
26	0.4969370316
27	0.4933279422
28	0.4900791063
29	0.4869549403
30	0.4840806015
31	0.4807799372
32	0.4784754945
33	0.4755417994
34	0.4726208312
35	0.4698713788
36	0.467305411
37	0.4650701271
38	0.4629313512
39	0.4609403162
40	0.4588103138
41	0.4567285654
42	0.4552143845
43	0.4534091899
44	0.4516026955
45	0.4498634643
46	0.4483531014
47	0.4468269247
48	0.4456386346
49	0.4441896048
50	0.4427573095
51	0.4414565079
52	0.4401434126
53	0.438912907
54	0.4377673199
55	0.4366002595
56	0.4355328212
57	0.4343029655
58	0.4330863513
59	0.4319126566
60	0.4308622778
61	0.4298410086
62	0.4289663428
63	0.4281147751
64	0.4270350973
65	0.4260624883
66	0.425264807
67	0.4243096637
68	0.4237282862
69	0.422963018
70	0.4221270747
71	0.4214573668
72	0.4206659136
73	0.4199541798
74	0.4192930829
75	0.4186382954
76	0.4180588134
77	0.4174317814
78	0.4171759429
79	0.4166144952
80	0.4159417004
81	0.4154839638
82	0.4149611303
83	0.4142668892
84	0.4136932563
85	0.4130732647
86	0.4126500263
87	0.4120974063
88	0.4115303805
89	0.4110464318
90	0.4103802441
91	0.4099126509
92	0.4093816938
93	0.4088677962
94	0.4083566065
95	0.4079217784
96	0.407486517
97	0.4071125616
98	0.4065357333
99	0.4060733934
100	0.4056579536
101	0.4052910927
102	0.4049761145
103	0.4045589417
104	0.4041076498
105	0.403653975
106	0.4033569498
107	0.4029914429
108	0.4025639531
109	0.4021623776
110	0.4018284985
111	0.4014651579
112	0.4011422727
113	0.4008607094
114	0.400426098
115	0.3999602649
116	0.3995141991
117	0.3992156847
118	0.3989367752
119	0.3985101248
120	0.3981624898
121	0.3979382519
122	0.3976862856
123	0.3973380548
124	0.3970413817
125	0.3968306561
126	0.396553967
127	0.3962703729
128	0.3960851011
129	0.3956686052
130	0.3954300698
131	0.395182761
132	0.3948428163
133	0.3946256731
134	0.3943443535
135	0.394106116
136	0.3938448347
137	0.3935247386
138	0.3933630794
139	0.3929570629
140	0.3927391614
141	0.3925375613
142	0.3922477661
143	0.3919453524
144	0.3917109059
145	0.391346455
146	0.391003992
147	0.3906495874
148	0.3904470936
149	0.3901118064
150	0.3898268855
151	0.3894678774
152	0.3892435042
153	0.3891039411
154	0.3887934037
155	0.3885537582
156	0.3883272457
157	0.3881769866
158	0.3879021388
159	0.3876038952
160	0.3873638976
161	0.3870485131
162	0.3868852292
163	0.3865401667
164	0.386444498
165	0.3861348001
166	0.3858679134
167	0.3857434873
168	0.3854899504
169	0.3853729979
170	0.3851814168
171	0.384953063
172	0.3848307219
173	0.3845873666
174	0.3842211286
175	0.3840685949
176	0.3837877627
177	0.3835760352
178	0.3833848874
179	0.3832172709
180	0.3831015911
181	0.3829060295
182	0.3827654103
183	0.3825584486
184	0.382428688
185	0.3822494818
186	0.3820585777
187	0.3818813754
188	0.3816911482
189	0.3814320873
190	0.3812056019
191	0.3810897597
192	0.3808564776
193	0.3807156147
194	0.3805793282
195	0.3804479428
196	0.3802410623
197	0.3800375938
198	0.3798377266
199	0.3797037688
200	0.3794944513
201	0.3793983223
202	0.3791372304
203	0.3789626276
204	0.3788526885
205	0.3787480568
206	0.3785353815
207	0.3783997719
208	0.3782642436
209	0.3781006618
210	0.3778248663
211	0.377573956
212	0.37736036
213	0.377173978
214	0.3769198725
215	0.3767512811
216	0.376567607
217	0.3764461054
218	0.3763621617
219	0.3762247108
220	0.3760964124
221	0.3759811659
222	0.3757935112
223	0.3756105953
224	0.3755045284
225	0.3753530237
226	0.3752695403
227	0.3751626882
228	0.3749698074
229	0.3748662859
230	0.374789166
231	0.3745804442
232	0.3744435619
233	0.3742353004
234	0.3739478341
235	0.3737751268
236	0.3735724706
237	0.3734207492
238	0.3733193669
239	0.3731272443
240	0.3729058767
241	0.3727948274
242	0.3726853487
243	0.3726197372
244	0.3724487088
245	0.3722855603
246	0.3721291001
247	0.3719290164
248	0.3716472907
249	0.3715122226
250	0.3713733365
251	0.3712594439
252	0.3711586845
253	0.3709982167
254	0.3708691601
255	0.3707034933
256	0.3706949364
257	0.3704888954
258	0.3703873236
259	0.3702134248
260	0.3701069518
261	0.3698852052
262	0.3696874502
263	0.3695498097
264	0.3693680852
265	0.3692441194
266	0.3690559232
267	0.3689127045
268	0.3687528053
269	0.3686945864
270	0.3685871926
271	0.368392985
272	0.3681769519
273	0.3680403133
274	0.3679731855
275	0.3678040526
276	0.3677087359
277	0.3675446667
278	0.3673843072
279	0.3672258162
280	0.367213333
281	0.3670237286
282	0.366924296
283	0.3667847059
284	0.3666181454
285	0.3663754671
286	0.3663031672
287	0.3660935247
288	0.3659907344
289	0.3658912476
290	0.3658146152
291	0.3656387668
292	0.3655564478
293	0.3653471303
294	0.365246073
295	0.3651577155
296	0.3650176108
297	0.3648965424
298	0.3647955122
299	0.3646394853
300	0.3643927181
301	0.3642701062
302	0.3641561053
303	0.3639959354
304	0.3638537186
305	0.3638457033
306	0.3637021597
307	0.3635681748
308	0.3634425301
309	0.3633986628
310	0.3633332138
311	0.3631643246
312	0.3630483199
313	0.3628532457
314	0.3626503729
315	0.3625197999
316	0.3623476612
317	0.3621304638
318	0.3620278359
319	0.3618781996
320	0.361767069
321	0.3617114767
322	0.3614815523
323	0.3613094408
324	0.3610806266
325	0.3609442588
326	0.3607193982
327	0.3606331257
328	0.3605390005
329	0.3604467167
330	0.3602916105
331	0.3601700276
332	0.3600087204
333	0.3598891955
334	0.3598435139
335	0.3597154592
336	0.35963685
337	0.3595659853
338	0.3593869687
339	0.3592176192
340	0.3590447765
341	0.3588693614
342	0.3587909688
343	0.3587362701
344	0.3585910746
345	0.3583956755
346	0.3583090781
347	0.3581127312
348	0.357939347
349	0.357835636
350	0.3577122117
351	0.3575849694
352	0.3574503617
353	0.3573908971
354	0.3572083332
355	0.3570824448
356	0.3567901855
357	0.3567243033
358	0.3566407658
359	0.3564541672
360	0.3563438219
361	0.356202932
362	0.3560147087
363	0.3559185796
364	0.355665828
365	0.3554401821
366	0.355306116
367	0.3551580231
368	0.3549634092
369	0.354828612
370	0.3546470229
371	0.3545848775
372	0.3543719315
373	0.3542586617
374	0.3540075619
375	0.3539033634
376	0.3536961309
377	0.3536224771
378	0.3534627134
379	0.3533086904
380	0.3531794984
381	0.3530285623
382	0.352932677
383	0.3528278828
384	0.3526051884
385	0.3524846345
386	0.3524132824
387	0.3523648659
388	0.3522861755
389	0.3521314755
390	0.3519560603
391	0.3518518077
392	0.3517656166
393	0.3516623659
394	0.3514040361
395	0.3512439474
396	0.3511808543
397	0.3510213884
398	0.3509019718
399	0.3506577499
400	0.3505429367
401	0.3504495426
402	0.3503100066
403	0.3501558752
404	0.3500486981
405	0.3498835187
406	0.349755816
407	0.3496266511
408	0.3495557865
409	0.349457085
410	0.3494102932
411	0.3492872209
412	0.3492326576
413	0.3491066067
414	0.3489637671
415	0.3488419134
416	0.3487129381
417	0.3485396621
418	0.3484402024
419	0.3482683617
420	0.3481295026
421	0.3480097611
422	0.3479123864
423	0.3478557109
424	0.3477205075
425	0.3476495345
426	0.3475652118
427	0.3474075602
428	0.3472411893
429	0.3471497449
430	0.3469827512
431	0.3469219055
432	0.3467812593
433	0.3466699934
434	0.3465532305
435	0.3463893508
436	0.3461870195
437	0.3460466441
438	0.345907081
439	0.3458076755
440	0.3456801082
441	0.3456038007
442	0.3454732819
443	0.3453808355
444	0.3452750936
445	0.3451977572
446	0.3450590877
447	0.3448937999
448	0.3447243421
449	0.344601324
450	0.3445106649
451	0.3444384462
452	0.344256803
453	0.3441778418
454	0.3440530095
455	0.3439254693
456	0.3438331313
457	0.3437257647
458	0.3436430937
459	0.3435524887
460	0.3434451762
461	0.3433057756
462	0.3431910436
463	0.343170518
464	0.3429943447
465	0.3428814811
466	0.3427292452
467	0.3425829125
468	0.3424784703
469	0.3423902754
470	0.3421882149
471	0.3420827979
472	0.3419265815
473	0.3417695256
474	0.3416754275
475	0.3415356478
476	0.3414286061
477	0.3412631017
478	0.3410969474
479	0.3409301974
480	0.3408632592
481	0.3407311156
482	0.3406464138
483	0.3404843754
484	0.3403914417
485	0.3402961521
486	0.3401898686
487	0.3400551255
488	0.3399455655
489	0.3398184044
490	0.3397183219
491	0.3396254153
492	0.3394863125
493	0.3393356472
494	0.3392283347
495	0.3391131965
496	0.3389863875
497	0.3389108924
498	0.338805015
499	0.3387008166
500	0.3385570834
501	0.3385139743
502	0.3383655294
503	0.338220334
504	0.3381036523
